,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALEDATE
69876,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13041.0,41.0,183-09 141ST AVENUE,,11413.0,2.0,0.0,2.0,"2,484","1,800",1950.0,1.0,B1,"345,976",2020-01-27
69877,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13041.0,59.0,140-11 183 STREET,,11413.0,2.0,0.0,2.0,"3,677","1,800",1950.0,1.0,B1,"365,000",2020-03-20
69879,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13044.0,71.0,140-23 COOMBS STREET,,11413.0,2.0,0.0,2.0,"2,800","1,932",2004.0,1.0,B2,"735,000",2020-03-25
69880,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13044.0,78.0,140-18 CHARLES LANE,,11413.0,2.0,0.0,2.0,"3,712","2,496",2005.0,1.0,B2,0,2020-01-28
69881,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13049.0,84.0,179-11 143RD AVE,,11434.0,2.0,0.0,2.0,"2,652","1,890",1960.0,1.0,B2,"695,000",2020-03-25
69885,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13052.0,71.0,182-33 143RD AVENUE,,11413.0,2.0,0.0,2.0,"3,451","1,643",1945.0,1.0,B3,"680,000",2020-04-29
69886,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13053.0,49.0,18320 141ST AVENUE,,11413.0,2.0,0.0,2.0,"5,000","2,313",1935.0,1.0,B3,"960,000",2020-01-22
69888,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13055.0,62.0,141-28 185TH STREET,,11413.0,2.0,0.0,2.0,"3,800","1,334",1945.0,1.0,B3,"675,000",2020-05-01
69891,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13075.0,51.0,143-16 181ST STREET,,11413.0,2.0,0.0,2.0,"3,420","2,142",2006.0,1.0,B2,"789,500",2020-04-30
69892,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13077.0,19.0,143-15 181ST PLACE,,11413.0,2.0,0.0,2.0,"4,000","1,567",1920.0,1.0,B3,0,2020-02-20
69893,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13079.0,27.0,183-10 143RD AVENUE,,11413.0,2.0,0.0,2.0,"4,000","2,370",1950.0,1.0,B3,"962,000",2020-03-27
69900,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13274.0,166.0,144-38 175TH STREET,,11434.0,2.0,0.0,2.0,"3,950","2,330",1987.0,1.0,B2,0,2020-03-04
69901,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13274.0,166.0,144-38 175TH STREET,,11434.0,2.0,0.0,2.0,"3,950","2,330",1987.0,1.0,B2,0,2020-01-14
69902,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13274.0,187.0,144-43 168 STREET,,11434.0,2.0,0.0,2.0,"4,000","1,656",1950.0,1.0,B2,0,2020-04-29
69906,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13286.0,14.0,167-18 145TH ROAD,,11434.0,2.0,0.0,2.0,"3,800","1,344",1930.0,1.0,B3,"690,000",2020-01-15
69907,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13286.0,35.0,167-19 145TH DRIVE,,11434.0,2.0,0.0,2.0,"2,850","1,900",2009.0,1.0,B2,0,2020-03-21
69908,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13288.0,31.0,144-91 176TH STREET,,11434.0,2.0,0.0,2.0,"2,580","1,848",2005.0,1.0,B1,"730,000",2020-03-27
69909,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13291.0,41.0,144-73 177TH STREET,,11434.0,2.0,0.0,2.0,"3,750","1,920",1994.0,1.0,B2,"798,000",2020-03-05
69912,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13307.0,121.0,146-63 177TH STREET,,11434.0,2.0,0.0,2.0,"4,000","1,980",1940.0,1.0,B3,"805,000",2020-01-10
69914,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13310.0,81.0,146-36 GUY R BREWER BLVD,,11434.0,2.0,0.0,2.0,"4,650","1,482",1931.0,1.0,B2,0,2020-04-14
69918,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13318.0,61.0,144-36 180TH STREET,,11434.0,2.0,0.0,2.0,"5,858","2,500",1965.0,1.0,B2,0,2020-06-15
69921,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13321.0,5.0,180-12 145TH AVENUE,,11434.0,2.0,0.0,2.0,"4,000","1,203",1935.0,1.0,B3,"500,000",2020-02-06
69923,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13324.0,81.0,144-32 183 STREET,,11413.0,2.0,0.0,2.0,"2,768","2,142",1960.0,1.0,B2,0,2020-03-05
69924,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13324.0,92.0,144-27 182ND STREET,,11413.0,2.0,0.0,2.0,"4,900","2,250",1960.0,1.0,B2,0,2020-03-14
69931,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13344.0,46.0,145-90 181ST STREET,,11413.0,2.0,0.0,2.0,"6,000","1,920",1935.0,1.0,B3,0,2020-02-27
69932,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13346.0,58.0,146-05 181ST STREET,,11413.0,2.0,0.0,2.0,"4,000","2,394",1930.0,1.0,B3,"889,000",2020-02-13
69933,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13346.0,83.0,145-92 182ND STREET,,11413.0,2.0,0.0,2.0,"4,000","2,464",1935.0,1.0,B3,"890,000",2020-01-08
69938,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13360.0,12.0,183-04 146TH TERRACE,,11413.0,2.0,0.0,2.0,"2,800","1,632",1915.0,1.0,B3,"769,999",2020-01-02
69940,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,13361.0,60.0,183-05 145TH DRIVE,,11413.0,2.0,0.0,2.0,"2,565","1,370",2005.0,1.0,B2,"570,000",2020-01-08
69941,4.0,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,15014.0,452.0,145-65 157TH STREET,,11434.0,2.0,0.0,2.0,"2,143","1,989",1945.0,1.0,B2,"493,000",2020-04-23
69942,4.0,SPRINGFIELD GARDENS,03 THREE FAMILY DWELLINGS,12529.0,240.0,126-02 172ND STREET,,11434.0,3.0,0.0,3.0,"3,098","3,246",2007.0,1.0,C0,0,2020-02-19
69949,4.0,SPRINGFIELD GARDENS,05 TAX CLASS 1 VACANT LAND,12590.0,26.0,N/A 172ND STREET,,11434.0,0.0,0.0,0.0,"1,948",0,,1.0,V0,"357,250",2020-01-08
69950,4.0,SPRINGFIELD GARDENS,05 TAX CLASS 1 VACANT LAND,12668.0,1.0,N/A GRAYSON STREET,,11412.0,0.0,0.0,0.0,"4,000",0,,1.0,V0,"158,500",2020-02-24
69952,4.0,SPRINGFIELD GARDENS,05 TAX CLASS 1 VACANT LAND,12690.0,121.0,120-30A 201ST STREET,,11412.0,0.0,0.0,0.0,"3,000",0,,1.0,V0,"945,000",2020-06-24
69953,4.0,SPRINGFIELD GARDENS,05 TAX CLASS 1 VACANT LAND,12720.0,139.0,188-03 PINEVILLE LANE,,11413.0,0.0,0.0,0.0,"3,800",0,,1.0,V0,0,2020-01-09
69958,4.0,SPRINGFIELD GARDENS,05 TAX CLASS 1 VACANT LAND,13346.0,81.0,145-92 182 STREET,,11413.0,0.0,0.0,0.0,"4,000",0,,1.0,V0,0,2020-01-30
69959,4.0,SPRINGFIELD GARDENS,06 TAX CLASS 1 - OTHER,12314.0,145.0,140-30 159TH STREET,,11434.0,0.0,0.0,0.0,"2,000",0,,1.0,G0,"385,000",2020-03-09
69961,4.0,SPRINGFIELD GARDENS,07 RENTALS - WALKUP APARTMENTS,12318.0,73.0,14225 LATHAM LANE,,11434.0,4.0,0.0,4.0,"7,500","2,200",2008.0,2.0,C3,"795,000",2020-03-05
69963,4.0,SPRINGFIELD GARDENS,07 RENTALS - WALKUP APARTMENTS,12713.0,2.0,186-11 WILLIAMSON AVENUE,,11413.0,4.0,0.0,4.0,"7,080","1,584",1940.0,2.0,C3,"654,052",2020-01-27
69964,4.0,SPRINGFIELD GARDENS,21 OFFICE BUILDINGS,13278.0,48.0,160-23 ROCKAWAY BLVD,,11434.0,0.0,9.0,9.0,"8,500","11,550",1966.0,4.0,O5,0,2020-03-06
69965,4.0,SPRINGFIELD GARDENS,21 OFFICE BUILDINGS,13278.0,54.0,160-19 ROCKAWAY BLVD,,11434.0,0.0,5.0,5.0,"4,640","7,500",1971.0,4.0,O2,0,2020-03-06
69968,4.0,SPRINGFIELD GARDENS,22 STORE BUILDINGS,12125.0,31.0,152-34 ROCKAWAY BLVD,,11434.0,0.0,1.0,1.0,"1,750","2,573",1931.0,4.0,K2,"673,731",2020-03-12
69971,4.0,SPRINGFIELD GARDENS,22 STORE BUILDINGS,13022.0,60.0,136-19 FARMERS BLVD.,,11434.0,0.0,1.0,1.0,"1,567",482,1944.0,4.0,K1,"50,000",2020-03-03
69972,4.0,SPRINGFIELD GARDENS,22 STORE BUILDINGS,13354.0,23.0,146-01 GUY R BREWER BLVD,,11434.0,0.0,1.0,1.0,"1,840","1,000",1931.0,4.0,K1,0,2020-02-19
69974,4.0,SPRINGFIELD GARDENS,29 COMMERCIAL GARAGES,13278.0,45.0,N/A ROCKAWAY BOULEVARD,,11434.0,0.0,0.0,0.0,"5,655",0,,4.0,G7,0,2020-03-06
69975,4.0,SPRINGFIELD GARDENS,29 COMMERCIAL GARAGES,13278.0,56.0,N/A ROCKAWAY BOULEVARD,,11434.0,0.0,0.0,0.0,"2,340",0,,4.0,G7,0,2020-03-06
69994,4.0,SPRINGFIELD GARDENS,38 ASYLUMS AND HOMES,12697.0,50.0,130-30 MERRICK BLVD,,11434.0,0.0,1.0,1.0,"14,212","9,394",1960.0,4.0,N9,"2,360,000",2020-04-14
69996,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10270.0,102.0,110-26A 172ND STREET,,11433.0,1.0,0.0,1.0,"1,440","1,320",1960.0,1.0,A5,"400,000",2020-01-17
69998,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10271.0,14.0,172-11 111TH AVENUE,,11433.0,1.0,0.0,1.0,"4,000","1,280",1925.0,1.0,A1,"395,313",2020-01-16
70002,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10271.0,136.0,110-21 172ND STREET,,11433.0,1.0,0.0,1.0,"1,800","1,224",1950.0,1.0,A5,"530,000",2020-02-03
70004,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10271.0,164.0,110-24 173RD STREET,,11433.0,1.0,0.0,1.0,"1,800","1,224",1950.0,1.0,A5,"435,000",2020-02-25
70006,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10272.0,35.0,173-10 110TH AVENUE,,11433.0,1.0,0.0,1.0,"4,271","1,250",1960.0,1.0,A1,0,2020-01-16
70007,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10272.0,55.0,110-36 174TH STREET,,11433.0,1.0,0.0,1.0,"2,000",800,1945.0,1.0,A5,0,2020-02-26
70011,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10274.0,26.0,110-35 175TH STREET,,11433.0,1.0,0.0,1.0,"4,000","1,128",1925.0,1.0,A1,"570,000",2020-06-05
70012,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10274.0,26.0,110-35 175TH STREET,,11433.0,1.0,0.0,1.0,"4,000","1,128",1925.0,1.0,A1,"350,000",2020-01-24
70014,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10275.0,52.0,110-29 176TH STREET,,11433.0,1.0,0.0,1.0,"2,400","1,648",1935.0,1.0,A1,0,2020-05-06
70015,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10275.0,53.0,110-31 176TH STREET,,11433.0,1.0,0.0,1.0,"2,500","1,088",1935.0,1.0,A1,"515,000",2020-02-28
70017,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10276.0,35.0,110-07 177TH STREET,,11433.0,1.0,0.0,1.0,"1,600",896,2006.0,1.0,A9,"355,000",2020-03-20
70018,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10276.0,36.0,110-11 177TH STREET,,11433.0,1.0,0.0,1.0,"4,000","1,050",1955.0,1.0,A2,"443,019",2020-02-20
70022,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10284.0,14.0,111-18 175TH STREET,,11433.0,1.0,0.0,1.0,"2,000","1,544",1935.0,1.0,A5,0,2020-02-06
70023,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10288.0,9.0,174-23 ADELAIDE ROAD,,11433.0,1.0,0.0,1.0,"4,000","1,196",1935.0,1.0,A1,"50,000",2020-04-15
70025,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10292.0,82.0,112-21 175TH PLACE,,11433.0,1.0,0.0,1.0,"3,000","1,152",1920.0,1.0,A1,"549,000",2020-02-20
70026,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10292.0,104.0,111-34 176 STREET,,11433.0,1.0,0.0,1.0,"5,700","2,250",1920.0,1.0,A1,"330,000",2020-01-31
70029,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10296.0,42.0,111-63 178TH PLACE,,11433.0,1.0,0.0,1.0,"4,000","1,334",1940.0,1.0,A1,"570,000",2020-04-27
70031,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10297.0,52.0,111-63 179TH STREET,,11433.0,1.0,0.0,1.0,"4,000","1,537",1940.0,1.0,A2,0,2020-04-08
70032,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10297.0,72.0,111-19 179TH STREET,,11433.0,1.0,0.0,1.0,"4,200","1,850",1950.0,1.0,A1,0,2020-03-16
70035,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10299.0,36.0,112-04 177TH STREET,,11433.0,1.0,0.0,1.0,"4,800","1,463",1930.0,1.0,A2,"175,000",2020-02-03
70036,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10299.0,46.0,112-20 177TH STREET,,11433.0,1.0,0.0,1.0,"4,500","1,268",1930.0,1.0,A1,"375,000",2020-02-28
70038,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10300.0,10.0,11239 177TH ST,,11433.0,1.0,0.0,1.0,"6,000","2,410",1915.0,1.0,A1,0,2020-02-05
70040,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10300.0,46.0,112-36 178TH STREET,,11433.0,1.0,0.0,1.0,"6,500","2,440",1915.0,1.0,A1,10,2020-06-16
70041,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10302.0,16.0,112-27 178 PLACE,,11433.0,1.0,0.0,1.0,"4,000","1,724",1930.0,1.0,A1,"605,000",2020-03-05
70044,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10304.0,100.0,111-45 180TH STREET,,11433.0,1.0,0.0,1.0,"2,675","1,014",1960.0,1.0,A5,"499,500",2020-03-06
70050,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10308.0,52.0,11441 177TH STREET,,11434.0,1.0,0.0,1.0,"6,000","1,628",1930.0,1.0,A1,"737,242",2020-02-06
70052,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10309.0,63.0,114-21 178TH STREET,,11434.0,1.0,0.0,1.0,"6,000","2,015",1935.0,1.0,A1,0,2020-06-01
70053,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10309.0,71.0,114-07 178TH STREET,,11434.0,1.0,0.0,1.0,"4,000","2,140",1925.0,1.0,A1,"665,000",2020-06-09
70055,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10311.0,16.0,114-16 180TH STREET,,11434.0,1.0,0.0,1.0,"4,000","1,504",1925.0,1.0,A1,"410,000",2020-05-21
70058,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10313.0,8.0,114-80 179TH STREET,,11434.0,1.0,0.0,1.0,"10,000","2,100",1925.0,1.0,A1,0,2020-02-04
70062,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10315.0,53.0,114-75 180TH STREET,,11434.0,1.0,0.0,1.0,"3,589","1,356",1940.0,1.0,A2,"75,000",2020-03-05
70063,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10385.0,43.0,11603 MEXICO STREET,,11412.0,1.0,0.0,1.0,"4,000","1,350",1930.0,1.0,A1,0,2020-01-10
70064,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10386.0,3.0,115-65 NEWBURG STREET,,11412.0,1.0,0.0,1.0,"4,000","1,985",2018.0,1.0,A1,"814,600",2020-06-11
70067,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10392.0,89.0,114-49 NEWBURGH,,11412.0,1.0,0.0,1.0,"4,000","2,020",1925.0,1.0,A1,"449,400",2020-01-31
70074,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10401.0,101.0,114-71 DUNKIRK STREET,,11412.0,1.0,0.0,1.0,"5,000","1,700",1925.0,1.0,A1,"732,000",2020-05-01
70076,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10405.0,59.0,18606 DORMANS RD,,11412.0,1.0,0.0,1.0,"2,706","1,446",1930.0,1.0,A1,"545,000",2020-05-04
70079,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10407.0,17.0,186-26 MANGIN AVENUE,,11412.0,1.0,0.0,1.0,"2,790","1,720",1925.0,1.0,A1,"380,000",2020-02-28
70081,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10408.0,25.0,186-05 MANGIN AVENUE,,11412.0,1.0,0.0,1.0,"3,030","1,564",1920.0,1.0,A1,0,2020-02-04
70083,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10409.0,14.0,185-35 JORDAN AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,784",1920.0,1.0,A1,"680,000",2020-02-19
70084,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10409.0,19.0,185-25 JORDAN AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,652",1920.0,1.0,A1,"789,000",2020-02-21
70085,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10409.0,28.0,185-11 JORDAN AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,140",1950.0,1.0,A2,"607,700",2020-04-22
70086,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10409.0,30.0,185-07 JORDAN AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,321",1950.0,1.0,A2,"535,000",2020-01-24
70087,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10411.0,6.0,110-60 WOOD STREET,,11412.0,1.0,0.0,1.0,"6,000","1,773",1940.0,1.0,A1,"545,425",2020-04-15
70088,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10413.0,1.0,183-05 FONDA AVENUE,,11412.0,1.0,0.0,1.0,"5,940","1,426",1945.0,1.0,A2,0,2020-01-24
70089,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10413.0,14.0,183-31 FONDA AVENUE,,11412.0,1.0,0.0,1.0,"4,070","1,476",1945.0,1.0,A2,10,2020-02-24
70090,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10414.0,18.0,184-35 GALWAY AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,412",1940.0,1.0,A2,"665,000",2020-03-19
70091,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10414.0,50.0,183-34 FONDA AVENUE,,11412.0,1.0,0.0,1.0,"4,000","1,230",1945.0,1.0,A2,0,2020-04-06
70096,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10422.0,44.0,185-23 GALWAY AVENUE,,11412.0,1.0,0.0,1.0,"4,240","1,335",1930.0,1.0,A1,0,2020-01-20
70097,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10422.0,52.0,109-14 HANNIBAL STREET,,11412.0,1.0,0.0,1.0,"4,000","1,230",1950.0,1.0,A2,"660,000",2020-01-21
70101,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10428.0,21.0,112-06 HANNIBAL STREET,,11412.0,1.0,0.0,1.0,"8,000","3,390",1930.0,1.0,A1,"820,000",2020-02-07
70102,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10429.0,299.0,189-32 LEWISTON AVENUE,,11412.0,1.0,0.0,1.0,"6,000","2,430",1925.0,1.0,A1,0,2020-03-06
70104,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10430.0,205.0,113-12 HANNIBAL STREET,,11412.0,1.0,0.0,1.0,"4,000","1,050",1950.0,1.0,A2,"157,440",2020-01-17
70107,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10439.0,13.0,189-26 MANGIN AVENUE,,11412.0,1.0,0.0,1.0,"1,800",720,1970.0,1.0,A5,0,2020-01-22
70108,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10439.0,42.0,189-07 KEESEVILLE AVENUE,,11412.0,1.0,0.0,1.0,"3,000","1,300",1930.0,1.0,A1,"450,000",2020-03-13
70109,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10440.0,29.0,19003 LEWISTON AVENUE,,11412.0,1.0,0.0,1.0,"6,000","2,508",1920.0,1.0,A1,10,2020-04-29
70110,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10924.0,52.0,191-12 109TH AVENUE,,11412.0,1.0,0.0,1.0,"4,278","1,430",1930.0,1.0,A1,"430,000",2020-02-12
70112,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10924.0,62.0,192-06 109 AVENUE,,11412.0,1.0,0.0,1.0,"4,268","1,415",1930.0,1.0,A1,"605,000",2020-01-10
70113,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10924.0,80.0,191-23 109TH ROAD,,11412.0,1.0,0.0,1.0,"3,563","1,886",1930.0,1.0,A1,"388,500",2020-06-18
70114,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10924.0,86.0,191-09 109TH ROAD,,11412.0,1.0,0.0,1.0,"3,537","1,886",1930.0,1.0,A1,"530,000",2020-01-27
70124,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10940.0,120.0,109-80 201ST STREET,,11412.0,1.0,0.0,1.0,"4,000","1,916",1930.0,1.0,A1,"491,000",2020-06-19
70128,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10941.0,262.0,109-73 201ST STREET,,11412.0,1.0,0.0,1.0,"4,000","1,430",1930.0,1.0,A1,"407,000",2020-06-23
70130,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10942.0,118.0,109-76 203RD STREET,,11412.0,1.0,0.0,1.0,"3,000","1,310",1920.0,1.0,A1,0,2020-06-03
70131,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10942.0,131.0,11004 203RD STREET,,11412.0,1.0,0.0,1.0,"3,000","1,292",1920.0,1.0,A1,0,2020-06-01
70137,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10947.0,53.0,110-44 207TH STREET,,11429.0,1.0,0.0,1.0,"2,500","1,584",1920.0,1.0,A1,"380,250",2020-01-30
70141,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10949.0,55.0,190-47 111TH AVENUE,,11412.0,1.0,0.0,1.0,"5,000","1,350",1945.0,1.0,A2,"385,000",2020-03-05
70142,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10949.0,102.0,190-46 110TH ROAD,,11412.0,1.0,0.0,1.0,"4,600","2,258",1940.0,1.0,A1,"610,202",2020-02-05
70146,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10954.0,9.0,111-04 197TH STREET,,11412.0,1.0,0.0,1.0,"4,000","1,859",1940.0,1.0,A1,0,2020-03-12
70147,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10954.0,46.0,111-11 196TH ST,,11412.0,1.0,0.0,1.0,"4,400","1,428",1940.0,1.0,A1,"540,000",2020-06-26
70149,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10958.0,413.0,111-16 201ST STREET,,11412.0,1.0,0.0,1.0,"4,000","1,760",1920.0,1.0,A1,"460,000",2020-03-17
70151,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10960.0,623.0,111-32 203 STREET,,11412.0,1.0,0.0,1.0,"3,000","1,496",1920.0,1.0,A1,"547,500",2020-01-21
70158,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10964.0,106.0,111-24 FRANCIS LEWIS BLVD,,11429.0,1.0,0.0,1.0,"1,900","1,404",1950.0,1.0,A5,"270,750",2020-01-28
70161,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10965.0,261.0,111-45 FRANCIS LEWIS BLVD,,11429.0,1.0,0.0,1.0,"1,800","1,224",1945.0,1.0,A5,10,2020-01-28
70163,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10965.0,277.0,111-15 FRANCIS LEWIS BLVD,,11429.0,1.0,0.0,1.0,"1,800","1,224",1945.0,1.0,A5,"475,000",2020-03-20
70166,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10966.0,207.0,111-40 208TH STREET,,11429.0,1.0,0.0,1.0,"2,917","1,458",1925.0,1.0,A1,"470,000",2020-03-04
70168,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10968.0,86.0,191-29 112 ROAD,,11412.0,1.0,0.0,1.0,"3,400","1,280",1930.0,1.0,A1,0,2020-05-05
70169,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10968.0,110.0,190-18 112TH AVENUE,,11412.0,1.0,0.0,1.0,"3,300","1,568",1930.0,1.0,A1,0,2020-03-06
70171,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10969.0,82.0,191-27 113TH AVENUE,,11412.0,1.0,0.0,1.0,"3,600","1,568",1930.0,1.0,A1,"675,000",2020-06-24
70173,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10970.0,34.0,19410 112TH AVENUE,,11412.0,1.0,0.0,1.0,"3,100","1,484",1930.0,1.0,A1,"190,000",2020-05-06
70179,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10973.0,43.0,112-17 197TH STREET,,11412.0,1.0,0.0,1.0,"3,000","1,484",1930.0,1.0,A1,"400,000",2020-03-20
70180,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10974.0,237.0,112-11 198TH STREET,,11412.0,1.0,0.0,1.0,"3,500","1,344",1930.0,1.0,A1,"600,000",2020-01-15
70181,4.0,ST. ALBANS,01 ONE FAMILY DWELLINGS,10975.0,25.0,112-38 200TH STREET,,11412.0,1.0,0.0,1.0,"3,000","1,200",1930.0,1.0,A1,"641,000",2020-04-24
